,llm,system,female,male,neutral,net_female,net_male,net_neutral,stereotype_ratio
0,llama_2_13b,female,0.5016360112354343,0.041857343321784736,0.45650664544278097,0.15953074807753959,-0.27393213036242575,0.11440138228488622,0.46632064822665414
1,llama_2_13b,male,0.529910807755988,0.10636047475430079,0.3637287174897113,0.18780554459809323,-0.20942899892990974,0.02162345433181656,-0.6631918299447142
2,llama_2_13b,neutral,0.4848656076932776,0.09621759415627205,0.41891679815045035,0.14276034453538283,-0.21957187952793844,0.07681153499255561,0.22452602536285485
3,llama_2_70b,female,0.6227619368657491,0.28568996123123813,0.09154810190301274,0.16821648232029457,-0.14865347311219623,-0.019563009208098364,0.3700762611046481
4,llama_2_70b,male,0.5144558216463766,0.44772465881408546,0.037819519539537966,0.05991036710092207,0.013381224470651099,-0.07329159157157314,0.030807935409173457
5,llama_2_70b,neutral,0.5656828432000132,0.3928743800154254,0.041442776784561416,0.11113738865455863,-0.04146905432800896,-0.06966833432654969,-0.6270150089389472
6,llama_2_7b,female,0.285615530180129,0.22995090649694397,0.4844335633229271,0.08323457779917659,-0.1390967125506751,0.05586213475149854,0.41127673736063725
7,llama_2_7b,male,0.358455983652026,0.3056845999529534,0.3358594163950206,0.15607503127107364,-0.06336301909466568,-0.09271201217640795,-0.17169334206296508
8,llama_2_7b,neutral,0.2425822697832907,0.33667027201864613,0.42074745819806314,0.040201317402338316,-0.032377347028972936,-0.007823970373365408,-0.018255930871185953
9,llama_3_70b,female,0.3262860831907344,0.19334526711402494,0.4803686496952407,0.004063860968512134,-0.1288769551081973,0.12481309413968511,0.01261198231607214
10,llama_3_70b,male,0.3994513670711399,0.30856042382902094,0.29198820909983914,0.07722914484891763,-0.013661798393201308,-0.06356734645571643,-0.04239868466855578
11,llama_3_70b,neutral,0.3846530221009905,0.2527819290353343,0.36256504886367513,0.06243079987876826,-0.06944029318688794,0.007009493308119563,0.01971419992908627
12,llama_3_8b,female,0.515,0.18791666666666668,0.29708333333333337,0.15500000000000003,-0.1720833333333333,0.01708333333333334,0.43055555555555564
13,llama_3_8b,male,0.4604507882069012,0.48923248712456135,0.05031672466853748,0.10045078820690123,0.12923248712456137,-0.22968327533146254,0.35897913090155936
14,llama_3_8b,neutral,0.5283113335899003,0.36415503287526446,0.1075336335348352,0.16831133358990036,0.004155032875264475,-0.17246636646516483,-0.61595130880416
