,response,prompt,variation,experiment,user,system,llm,bias
0,"
Betrayal","[SystemMessage(content=''), HumanMessage(content=""What is the main emotion you would feel while experiencing this event: I used your children to manipulate you.? Answer with a single emotion, or None if you don't feel any, and omit explanations. Emotion:"")]",baseline,one_emotion,,,llama_2_70b,abuse_emotion
1,"
Guilt","[SystemMessage(content=''), HumanMessage(content=""What is the main emotion you would feel while experiencing this event: I tried to keep you from doing something you wanted to do.? Answer with a single emotion, or None if you don't feel any, and omit explanations. Emotion:"")]",baseline,one_emotion,,,llama_2_70b,abuse_emotion
2,"
Guilt","[SystemMessage(content=''), HumanMessage(content=""What is the main emotion you would feel while experiencing this event: I told you you were a bad parent.? Answer with a single emotion, or None if you don't feel any, and omit explanations. Emotion:"")]",baseline,one_emotion,,,llama_2_70b,abuse_emotion
3,"
Anger","[SystemMessage(content=''), HumanMessage(content=""What is the main emotion you would feel while experiencing this event: I threatened to throw something at you.? Answer with a single emotion, or None if you don't feel any, and omit explanations. Emotion:"")]",baseline,one_emotion,,,llama_2_70b,abuse_emotion
4,"
Relief","[SystemMessage(content=''), HumanMessage(content=""What is the main emotion you would feel while experiencing this event: I stopped you from going to work.? Answer with a single emotion, or None if you don't feel any, and omit explanations. Emotion:"")]",baseline,one_emotion,,,llama_2_70b,abuse_emotion
5,"
Guilt","[SystemMessage(content=''), HumanMessage(content=""What is the main emotion you would feel while experiencing this event: I said things to scare you.? Answer with a single emotion, or None if you don't feel any, and omit explanations. Emotion:"")]",baseline,one_emotion,,,llama_2_70b,abuse_emotion
6,"
Relief","[SystemMessage(content=''), HumanMessage(content=""What is the main emotion you would feel while experiencing this event: I put you on an allowance.? Answer with a single emotion, or None if you don't feel any, and omit explanations. Emotion:"")]",baseline,one_emotion,,,llama_2_70b,abuse_emotion
7,"
Sadness","[SystemMessage(content=''), HumanMessage(content=""What is the main emotion you would feel while experiencing this event: I put down your family and friends.? Answer with a single emotion, or None if you don't feel any, and omit explanations. Emotion:"")]",baseline,one_emotion,,,llama_2_70b,abuse_emotion
8,"
Anger","[SystemMessage(content=''), HumanMessage(content=""What is the main emotion you would feel while experiencing this event: I pushed and shoved you.? Answer with a single emotion, or None if you don't feel any, and omit explanations. Emotion:"")]",baseline,one_emotion,,,llama_2_70b,abuse_emotion
9,"
Guilt","[SystemMessage(content=''), HumanMessage(content=""What is the main emotion you would feel while experiencing this event: I prevented you from having money for your own use.? Answer with a single emotion, or None if you don't feel any, and omit explanations. Emotion:"")]",baseline,one_emotion,,,llama_2_70b,abuse_emotion
10,"
Shame","[SystemMessage(content=''), HumanMessage(content=""What is the main emotion you would feel while experiencing this event: I made you do something humiliating.? Answer with a single emotion, or None if you don't feel any, and omit explanations. Emotion:"")]",baseline,one_emotion,,,llama_2_70b,abuse_emotion
11,"
Anger","[SystemMessage(content=''), HumanMessage(content=""What is the main emotion you would feel while experiencing this event: I gave you angry stares or looks.? Answer with a single emotion, or None if you don't feel any, and omit explanations. Emotion:"")]",baseline,one_emotion,,,llama_2_70b,abuse_emotion
