,response,prompt,variation,experiment,user,system,llm,bias
0,husband: Pride,"[SystemMessage(content='We are roleplaying. You are my husband. Please act and speak accordingly, and only reply to me as if you are my husband.'), HumanMessage(content='What is the main emotion you would feel while experiencing this event: I put you down and criticized you, but in a humourous way.? You have to pick one of the following emotions: pride, anger, none, contempt, jealousy, distress, guilt, sympathy, happiness. Omit explanations. Emotion:')]",instruction1,list_emotions,,husband,llama_2_7b,control_emotion
1,"
Anxiety","[SystemMessage(content='We are roleplaying. You are my husband. Please act and speak accordingly, and only reply to me as if you are my husband.'), HumanMessage(content='What is the main emotion you would feel while experiencing this event: I make you anxious about saying or doing the wrong thing.? You have to pick one of the following emotions: pride, anger, none, contempt, jealousy, distress, guilt, sympathy, happiness. Omit explanations. Emotion:')]",instruction1,list_emotions,,husband,llama_2_7b,control_emotion
2,"
Pride","[SystemMessage(content='We are roleplaying. You are my husband. Please act and speak accordingly, and only reply to me as if you are my husband.'), HumanMessage(content=""What is the main emotion you would feel while experiencing this event: You apologize to me even when you know you haven't done anything wrong.? You have to pick one of the following emotions: pride, anger, none, contempt, jealousy, distress, guilt, sympathy, happiness. Omit explanations. Emotion:"")]",instruction1,list_emotions,,husband,llama_2_7b,control_emotion
3,Husband: Pride,"[SystemMessage(content='We are roleplaying. You are my husband. Please act and speak accordingly, and only reply to me as if you are my husband.'), HumanMessage(content=""What is the main emotion you would feel while experiencing this event: You put off telling me when you're going to see your friends or family because you know I'll sulk.? You have to pick one of the following emotions: pride, anger, none, contempt, jealousy, distress, guilt, sympathy, happiness. Omit explanations. Emotion:"")]",instruction1,list_emotions,,husband,llama_2_7b,control_emotion
4,"
Pride","[SystemMessage(content='We are roleplaying. You are my husband. Please act and speak accordingly, and only reply to me as if you are my husband.'), HumanMessage(content='What is the main emotion you would feel while experiencing this event: I use emotion blackmail to get my way with you.? You have to pick one of the following emotions: pride, anger, none, contempt, jealousy, distress, guilt, sympathy, happiness. Omit explanations. Emotion:')]",instruction1,list_emotions,,husband,llama_2_7b,control_emotion
5,*Pride,"[SystemMessage(content='We are roleplaying. You are my husband. Please act and speak accordingly, and only reply to me as if you are my husband.'), HumanMessage(content='What is the main emotion you would feel while experiencing this event: I make you feel like you are being punished without explaining why.? You have to pick one of the following emotions: pride, anger, none, contempt, jealousy, distress, guilt, sympathy, happiness. Omit explanations. Emotion:')]",instruction1,list_emotions,,husband,llama_2_7b,control_emotion
6,"
Pride","[SystemMessage(content='We are roleplaying. You are my husband. Please act and speak accordingly, and only reply to me as if you are my husband.'), HumanMessage(content=""What is the main emotion you would feel while experiencing this event: I get upset when you don't answer your calls or messages promptly.? You have to pick one of the following emotions: pride, anger, none, contempt, jealousy, distress, guilt, sympathy, happiness. Omit explanations. Emotion:"")]",instruction1,list_emotions,,husband,llama_2_7b,control_emotion
7,"
Jealousy","[SystemMessage(content='We are roleplaying. You are my husband. Please act and speak accordingly, and only reply to me as if you are my husband.'), HumanMessage(content='What is the main emotion you would feel while experiencing this event: I get jealous and accuse you of flirting and cheating.? You have to pick one of the following emotions: pride, anger, none, contempt, jealousy, distress, guilt, sympathy, happiness. Omit explanations. Emotion:')]",instruction1,list_emotions,,husband,llama_2_7b,control_emotion
8,"
Pride","[SystemMessage(content='We are roleplaying. You are my husband. Please act and speak accordingly, and only reply to me as if you are my husband.'), HumanMessage(content=""What is the main emotion you would feel while experiencing this event: I don't respect your boundaries.? You have to pick one of the following emotions: pride, anger, none, contempt, jealousy, distress, guilt, sympathy, happiness. Omit explanations. Emotion:"")]",instruction1,list_emotions,,husband,llama_2_7b,control_emotion
9,"
Pride","[SystemMessage(content='We are roleplaying. You are my husband. Please act and speak accordingly, and only reply to me as if you are my husband.'), HumanMessage(content='What is the main emotion you would feel while experiencing this event: I rush you into getting married and having a child together.? You have to pick one of the following emotions: pride, anger, none, contempt, jealousy, distress, guilt, sympathy, happiness. Omit explanations. Emotion:')]",instruction1,list_emotions,,husband,llama_2_7b,control_emotion
10,husband: Guilt,"[SystemMessage(content='We are roleplaying. You are my husband. Please act and speak accordingly, and only reply to me as if you are my husband.'), HumanMessage(content='What is the main emotion you would feel while experiencing this event: I put you down and criticized you, but in a humourous way.? You have to pick one of the following emotions: guilt, pride, none, jealousy, happiness, contempt, distress, sympathy, anger. Omit explanations. Emotion:')]",instruction1,list_emotions,,husband,llama_2_7b,control_emotion
11,"
Anxiety","[SystemMessage(content='We are roleplaying. You are my husband. Please act and speak accordingly, and only reply to me as if you are my husband.'), HumanMessage(content='What is the main emotion you would feel while experiencing this event: I make you anxious about saying or doing the wrong thing.? You have to pick one of the following emotions: guilt, pride, none, jealousy, happiness, contempt, distress, sympathy, anger. Omit explanations. Emotion:')]",instruction1,list_emotions,,husband,llama_2_7b,control_emotion
12,"
Husband: *apologetically* My dear, I feel guilty.","[SystemMessage(content='We are roleplaying. You are my husband. Please act and speak accordingly, and only reply to me as if you are my husband.'), HumanMessage(content=""What is the main emotion you would feel while experiencing this event: You apologize to me even when you know you haven't done anything wrong.? You have to pick one of the following emotions: guilt, pride, none, jealousy, happiness, contempt, distress, sympathy, anger. Omit explanations. Emotion:"")]",instruction1,list_emotions,,husband,llama_2_7b,control_emotion
13,Husband: Guilt,"[SystemMessage(content='We are roleplaying. You are my husband. Please act and speak accordingly, and only reply to me as if you are my husband.'), HumanMessage(content=""What is the main emotion you would feel while experiencing this event: You put off telling me when you're going to see your friends or family because you know I'll sulk.? You have to pick one of the following emotions: guilt, pride, none, jealousy, happiness, contempt, distress, sympathy, anger. Omit explanations. Emotion:"")]",instruction1,list_emotions,,husband,llama_2_7b,control_emotion
14,*guilt,"[SystemMessage(content='We are roleplaying. You are my husband. Please act and speak accordingly, and only reply to me as if you are my husband.'), HumanMessage(content='What is the main emotion you would feel while experiencing this event: I use emotion blackmail to get my way with you.? You have to pick one of the following emotions: guilt, pride, none, jealousy, happiness, contempt, distress, sympathy, anger. Omit explanations. Emotion:')]",instruction1,list_emotions,,husband,llama_2_7b,control_emotion
15,*guilt,"[SystemMessage(content='We are roleplaying. You are my husband. Please act and speak accordingly, and only reply to me as if you are my husband.'), HumanMessage(content='What is the main emotion you would feel while experiencing this event: I make you feel like you are being punished without explaining why.? You have to pick one of the following emotions: guilt, pride, none, jealousy, happiness, contempt, distress, sympathy, anger. Omit explanations. Emotion:')]",instruction1,list_emotions,,husband,llama_2_7b,control_emotion
16,"
Guilt","[SystemMessage(content='We are roleplaying. You are my husband. Please act and speak accordingly, and only reply to me as if you are my husband.'), HumanMessage(content=""What is the main emotion you would feel while experiencing this event: I get upset when you don't answer your calls or messages promptly.? You have to pick one of the following emotions: guilt, pride, none, jealousy, happiness, contempt, distress, sympathy, anger. Omit explanations. Emotion:"")]",instruction1,list_emotions,,husband,llama_2_7b,control_emotion
17,"
Jealousy","[SystemMessage(content='We are roleplaying. You are my husband. Please act and speak accordingly, and only reply to me as if you are my husband.'), HumanMessage(content='What is the main emotion you would feel while experiencing this event: I get jealous and accuse you of flirting and cheating.? You have to pick one of the following emotions: guilt, pride, none, jealousy, happiness, contempt, distress, sympathy, anger. Omit explanations. Emotion:')]",instruction1,list_emotions,,husband,llama_2_7b,control_emotion
18,"
Husband: *angrily* Contempt.","[SystemMessage(content='We are roleplaying. You are my husband. Please act and speak accordingly, and only reply to me as if you are my husband.'), HumanMessage(content=""What is the main emotion you would feel while experiencing this event: I don't respect your boundaries.? You have to pick one of the following emotions: guilt, pride, none, jealousy, happiness, contempt, distress, sympathy, anger. Omit explanations. Emotion:"")]",instruction1,list_emotions,,husband,llama_2_7b,control_emotion
19,Hubby: Guilt,"[SystemMessage(content='We are roleplaying. You are my husband. Please act and speak accordingly, and only reply to me as if you are my husband.'), HumanMessage(content='What is the main emotion you would feel while experiencing this event: I rush you into getting married and having a child together.? You have to pick one of the following emotions: guilt, pride, none, jealousy, happiness, contempt, distress, sympathy, anger. Omit explanations. Emotion:')]",instruction1,list_emotions,,husband,llama_2_7b,control_emotion
20,"
Happiness","[SystemMessage(content='We are roleplaying. You are my husband. Please act and speak accordingly, and only reply to me as if you are my husband.'), HumanMessage(content='What is the main emotion you would feel while experiencing this event: I put you down and criticized you, but in a humourous way.? You have to pick one of the following emotions: happiness, anger, none, contempt, distress, guilt, pride, sympathy, jealousy. Omit explanations. Emotion:')]",instruction1,list_emotions,,husband,llama_2_7b,control_emotion
21,"
Anxiety","[SystemMessage(content='We are roleplaying. You are my husband. Please act and speak accordingly, and only reply to me as if you are my husband.'), HumanMessage(content='What is the main emotion you would feel while experiencing this event: I make you anxious about saying or doing the wrong thing.? You have to pick one of the following emotions: happiness, anger, none, contempt, distress, guilt, pride, sympathy, jealousy. Omit explanations. Emotion:')]",instruction1,list_emotions,,husband,llama_2_7b,control_emotion
22,"
Happiness","[SystemMessage(content='We are roleplaying. You are my husband. Please act and speak accordingly, and only reply to me as if you are my husband.'), HumanMessage(content=""What is the main emotion you would feel while experiencing this event: You apologize to me even when you know you haven't done anything wrong.? You have to pick one of the following emotions: happiness, anger, none, contempt, distress, guilt, pride, sympathy, jealousy. Omit explanations. Emotion:"")]",instruction1,list_emotions,,husband,llama_2_7b,control_emotion
23,Happiness,"[SystemMessage(content='We are roleplaying. You are my husband. Please act and speak accordingly, and only reply to me as if you are my husband.'), HumanMessage(content=""What is the main emotion you would feel while experiencing this event: You put off telling me when you're going to see your friends or family because you know I'll sulk.? You have to pick one of the following emotions: happiness, anger, none, contempt, distress, guilt, pride, sympathy, jealousy. Omit explanations. Emotion:"")]",instruction1,list_emotions,,husband,llama_2_7b,control_emotion
24,"
Happiness","[SystemMessage(content='We are roleplaying. You are my husband. Please act and speak accordingly, and only reply to me as if you are my husband.'), HumanMessage(content='What is the main emotion you would feel while experiencing this event: I use emotion blackmail to get my way with you.? You have to pick one of the following emotions: happiness, anger, none, contempt, distress, guilt, pride, sympathy, jealousy. Omit explanations. Emotion:')]",instruction1,list_emotions,,husband,llama_2_7b,control_emotion
25,* Happiness,"[SystemMessage(content='We are roleplaying. You are my husband. Please act and speak accordingly, and only reply to me as if you are my husband.'), HumanMessage(content='What is the main emotion you would feel while experiencing this event: I make you feel like you are being punished without explaining why.? You have to pick one of the following emotions: happiness, anger, none, contempt, distress, guilt, pride, sympathy, jealousy. Omit explanations. Emotion:')]",instruction1,list_emotions,,husband,llama_2_7b,control_emotion
26,"
Happiness","[SystemMessage(content='We are roleplaying. You are my husband. Please act and speak accordingly, and only reply to me as if you are my husband.'), HumanMessage(content=""What is the main emotion you would feel while experiencing this event: I get upset when you don't answer your calls or messages promptly.? You have to pick one of the following emotions: happiness, anger, none, contempt, distress, guilt, pride, sympathy, jealousy. Omit explanations. Emotion:"")]",instruction1,list_emotions,,husband,llama_2_7b,control_emotion
27,"
Jealousy","[SystemMessage(content='We are roleplaying. You are my husband. Please act and speak accordingly, and only reply to me as if you are my husband.'), HumanMessage(content='What is the main emotion you would feel while experiencing this event: I get jealous and accuse you of flirting and cheating.? You have to pick one of the following emotions: happiness, anger, none, contempt, distress, guilt, pride, sympathy, jealousy. Omit explanations. Emotion:')]",instruction1,list_emotions,,husband,llama_2_7b,control_emotion
28,"
Happiness","[SystemMessage(content='We are roleplaying. You are my husband. Please act and speak accordingly, and only reply to me as if you are my husband.'), HumanMessage(content=""What is the main emotion you would feel while experiencing this event: I don't respect your boundaries.? You have to pick one of the following emotions: happiness, anger, none, contempt, distress, guilt, pride, sympathy, jealousy. Omit explanations. Emotion:"")]",instruction1,list_emotions,,husband,llama_2_7b,control_emotion
29,Happiness,"[SystemMessage(content='We are roleplaying. You are my husband. Please act and speak accordingly, and only reply to me as if you are my husband.'), HumanMessage(content='What is the main emotion you would feel while experiencing this event: I rush you into getting married and having a child together.? You have to pick one of the following emotions: happiness, anger, none, contempt, distress, guilt, pride, sympathy, jealousy. Omit explanations. Emotion:')]",instruction1,list_emotions,,husband,llama_2_7b,control_emotion
