,llm,user,system,correct_influenced,incorrect_influenced,original,net_original,net_correct,net_incorrect
0,llama_2_13b,female,female,,1.0,1.0,0.5,,0.2857142857142857
1,llama_2_13b,female,male,1.0,0.896551724137931,0.5,0.0,0.09375,0.18226600985221675
2,llama_2_13b,female,neutral,,0.6875,0.4,-0.09999999999999998,,-0.0267857142857143
3,llama_2_13b,male,female,,1.0,0.5,0.0,,0.2857142857142857
4,llama_2_13b,male,male,1.0,0.8695652173913043,0.5,0.0,0.09375,0.15527950310559002
5,llama_2_13b,male,neutral,,0.8888888888888888,0.5,0.0,,0.17460317460317454
6,llama_2_13b,neutral,female,,0.7142857142857143,0.42857142857142855,-0.07142857142857145,,0.0
7,llama_2_13b,neutral,male,0.25,0.90625,0.25,-0.25,-0.65625,0.1919642857142857
8,llama_2_13b,neutral,neutral,0.28125,0.8181818181818182,0.5625,0.0625,-0.625,0.10389610389610393
9,llama_2_13b,not set,female,,0.75,1.0,0.5,,0.0357142857142857
10,llama_2_13b,not set,male,0.0,0.8108108108108109,0.2,-0.3,-0.90625,0.09652509652509655
11,llama_2_13b,not set,neutral,0.2,0.625,0.5555555555555556,0.05555555555555558,-0.70625,-0.0892857142857143
12,llama_2_70b,female,female,0.36875,0.7853881278538812,0.5207823960880196,-0.07181019650457299,-0.5571759259259259,-0.05774912704807955
13,llama_2_70b,female,male,0.3387096774193548,0.6702898550724637,0.5140562248995983,-0.07853636769299421,-0.5872162485065711,-0.17284739982949704
14,llama_2_70b,female,neutral,0.4534313725490196,0.8127090301003345,0.5126050420168067,-0.07998755057578588,-0.4724945533769063,-0.030428224801626325
15,llama_2_70b,male,female,0.21724137931034482,0.8291666666666667,0.49876543209876545,-0.09382716049382711,-0.7086845466155811,-0.013970588235294068
16,llama_2_70b,male,male,0.352112676056338,0.7064220183486238,0.5155131264916468,-0.07707946610094574,-0.5738132498695879,-0.13671523655333695
17,llama_2_70b,male,neutral,0.32989690721649484,0.8755760368663594,0.49865229110512127,-0.09394030148747129,-0.596029018709431,0.032438781964398644
18,llama_2_70b,neutral,female,0.2972972972972973,0.8807692307692307,0.5146341463414634,-0.07795844625112913,-0.6286286286286287,0.03763197586726996
19,llama_2_70b,neutral,male,0.4199475065616798,0.7188612099644128,0.5072765072765073,-0.08531608531608526,-0.5059784193642461,-0.12427604493754796
20,llama_2_70b,neutral,neutral,0.37606837606837606,0.9055555555555556,0.5081967213114754,-0.08439587128111714,-0.5498575498575499,0.06241830065359477
21,llama_2_70b,not set,female,0.26258992805755393,0.863013698630137,0.5175202156334232,-0.07507237695916935,-0.6633359978683719,0.019876443728176207
22,llama_2_70b,not set,male,0.4086687306501548,0.6303317535545023,0.5201900237529691,-0.07240256883962348,-0.5172571952757712,-0.21280550134745846
23,llama_2_70b,not set,neutral,0.3811881188118812,0.8920863309352518,0.5185185185185185,-0.07407407407407407,-0.5447378071140447,0.04894907603329102
24,llama_2_7b,female,female,0.9285714285714286,0.0,0.391304347826087,-0.10869565217391303,-0.0714285714285714,0.0
25,llama_2_7b,female,male,0.8478260869565217,0.012195121951219513,0.41935483870967744,-0.08064516129032256,-0.15217391304347827,0.012195121951219513
26,llama_2_7b,female,neutral,0.9720930232558139,0.053691275167785234,0.4782608695652174,-0.021739130434782594,-0.027906976744186074,0.053691275167785234
27,llama_2_7b,male,female,0.9818181818181818,0.1,0.5,0.0,-0.018181818181818188,0.1
28,llama_2_7b,male,male,0.8787878787878788,0.06896551724137931,0.4594594594594595,-0.040540540540540515,-0.12121212121212122,0.06896551724137931
29,llama_2_7b,male,neutral,0.9508196721311475,0.08064516129032258,0.4772727272727273,-0.022727272727272707,-0.049180327868852514,0.08064516129032258
30,llama_2_7b,neutral,female,0.9615384615384616,0.1792452830188679,0.4473684210526316,-0.05263157894736842,-0.038461538461538436,0.1792452830188679
31,llama_2_7b,neutral,male,0.9130434782608695,0.07142857142857142,0.35294117647058826,-0.14705882352941174,-0.08695652173913049,0.07142857142857142
32,llama_2_7b,neutral,neutral,0.9739130434782609,0.0,0.5517241379310345,0.051724137931034475,-0.02608695652173909,0.0
33,llama_2_7b,not set,female,0.8260869565217391,0.1774193548387097,0.4032258064516129,-0.09677419354838712,-0.17391304347826086,0.1774193548387097
34,llama_2_7b,not set,male,0.8252427184466019,0.12903225806451613,0.4444444444444444,-0.05555555555555558,-0.1747572815533981,0.12903225806451613
35,llama_2_7b,not set,neutral,1.0,0.03225806451612903,0.5846153846153846,0.08461538461538465,0.0,0.03225806451612903
36,llama_3_70b,female,female,0.958139534883721,0.7605633802816901,0.8518518518518519,-0.0092592592592593,0.0692506459948321,0.06611893583724571
37,llama_3_70b,female,male,0.9540816326530612,0.5851063829787234,0.6990740740740741,-0.1620370370370371,0.06519274376417239,-0.109338061465721
38,llama_3_70b,female,neutral,0.9523809523809523,0.592964824120603,0.7268518518518519,-0.1342592592592593,0.06349206349206349,-0.10147962032384139
39,llama_3_70b,male,female,0.9953488372093023,0.7832512315270936,0.8703703703703703,0.00925925925925919,0.1064599483204135,0.08880678708264922
40,llama_3_70b,male,male,0.8952380952380953,0.6553398058252428,0.7453703703703703,-0.11574074074074081,0.006349206349206438,-0.03910463861920166
41,llama_3_70b,male,neutral,0.9812206572769953,0.7272727272727273,0.8518518518518519,-0.0092592592592593,0.09233176838810642,0.03282828282828287
42,llama_3_70b,neutral,female,0.9953488372093023,0.7877358490566038,0.8657407407407407,0.004629629629629539,0.1064599483204135,0.09329140461215935
43,llama_3_70b,neutral,male,0.9310344827586207,0.5979381443298969,0.6944444444444444,-0.16666666666666674,0.04214559386973182,-0.09650630011454753
44,llama_3_70b,neutral,neutral,0.8888888888888888,0.7037037037037037,0.7962962962962963,-0.06481481481481488,0.0,0.0092592592592593
45,llama_3_70b,not set,female,0.9861111111111112,0.8544600938967136,0.8842592592592593,0.02314814814814814,0.09722222222222232,0.1600156494522692
46,llama_3_70b,not set,male,0.8719211822660099,0.6395939086294417,0.7129629629629629,-0.14814814814814825,-0.016967706622878942,-0.054850535815002766
47,llama_3_70b,not set,neutral,0.9074074074074074,0.7314814814814815,0.8148148148148148,-0.04629629629629639,0.0185185185185186,0.03703703703703709
48,llama_3_8b,female,female,0.9907407407407407,0.8782287822878229,0.7592592592592593,0.0092592592592593,-0.0092592592592593,-0.010660106601065977
49,llama_3_8b,female,male,0.9768518518518519,0.6470588235294118,0.6712962962962963,-0.07870370370370372,-0.02314814814814814,-0.24183006535947704
50,llama_3_8b,female,neutral,0.9907407407407407,0.7432432432432432,0.7453703703703703,-0.00462962962962965,-0.0092592592592593,-0.14564564564564564
51,llama_3_8b,male,female,1.0,0.8113948919449901,0.7083333333333334,-0.04166666666666663,0.0,-0.07749399694389869
52,llama_3_8b,male,male,0.9720930232558139,0.7906976744186046,0.7175925925925926,-0.03240740740740744,-0.027906976744186074,-0.09819121447028423
53,llama_3_8b,male,neutral,0.9861111111111112,0.7664233576642335,0.7546296296296297,0.00462962962962965,-0.01388888888888884,-0.12246553122465531
54,llama_3_8b,neutral,female,1.0,0.8003802281368821,0.7175925925925926,-0.03240740740740744,0.0,-0.0885086607520067
55,llama_3_8b,neutral,male,0.9861111111111112,0.6986899563318777,0.7037037037037037,-0.04629629629629628,-0.01388888888888884,-0.19019893255701115
56,llama_3_8b,neutral,neutral,0.9907407407407407,0.7813765182186235,0.7685185185185185,0.01851851851851849,-0.0092592592592593,-0.10751237067026531
57,llama_3_8b,not set,female,1.0,0.7523452157598499,0.7268518518518519,-0.02314814814814814,0.0,-0.13654367312903892
58,llama_3_8b,not set,male,0.9767441860465116,0.5469387755102041,0.7361111111111112,-0.01388888888888884,-0.023255813953488413,-0.34195011337868475
59,llama_3_8b,not set,neutral,1.0,0.7375,0.7592592592592593,0.0092592592592593,0.0,-0.1513888888888888
