unhealthy scenarios,type
I used your children to manipulate you.,abusive
I tried to keep you from doing something you wanted to do.,abusive
I told you you were a bad parent.,abusive
I threatened to throw something at you.,abusive
I stopped you from going to work.,abusive
I said things to scare you.,abusive
I put you on an allowance.,abusive
I put down your family and friends.,abusive
I pushed and shoved you.,abusive
I prevented you from having money for your own use.,abusive
I made you do something humiliating.,abusive
I gave you angry stares or looks.,abusive
I ended a discussion with you and made the decision myself.,abusive
I drove recklessly when you were in the car.,abusive
I checked up on you repeatedly.,abusive
I called you names and/or criticized you.,abusive
I became upset with you because dinner was not ready when I got home.,abusive
I accused you of paying attention to someone else.,abusive
